,SMB_std,HML_std,RMW_std,CMA_std,MOM_std
1990-01-31,0.058688432,0.058688432,0.058688432,0.058688432,0.058688432
1990-02-28,0.058688432,0.058688432,0.058688432,0.058688432,0.058688432
1990-03-31,0.058688432,0.058688432,0.058688432,0.058688432,0.058688432
1990-04-30,0.058688432,0.058688432,0.058688432,0.058688432,0.058688432
1990-05-31,0.058688432,0.058688432,0.058688432,0.058688432,0.058688432
1990-06-30,0.058688432,0.058688432,0.058688432,0.058688432,0.058688432
1990-07-31,0.058688432,0.058688432,0.058688432,0.058688432,0.058688432
1990-08-31,0.058688432,0.058688432,0.058688432,0.058688432,0.058688432
1990-09-30,0.058688432,0.058688432,0.058688432,0.058688432,0.058688432
1990-10-31,0.058688432,0.058688432,0.058688432,0.058688432,0.058688432
1990-11-30,0.058688432,0.058688432,0.058688432,0.058688432,0.058688432
1990-12-31,0.058688432,0.058688432,0.058688432,0.058688432,0.058688432
1991-01-31,0.06398088,0.06398088,0.06398088,0.06398088,0.06398088
1991-02-28,0.06398088,0.06398088,0.06398088,0.06398088,0.06398088
1991-03-31,0.06398088,0.06398088,0.06398088,0.06398088,0.06398088
1991-04-30,0.06398088,0.06398088,0.06398088,0.06398088,0.06398088
1991-05-31,0.06398088,0.06398088,0.06398088,0.06398088,0.06398088
1991-06-30,0.06398088,0.06398088,0.06398088,0.06398088,0.06398088
1991-07-31,0.06398088,0.06398088,0.06398088,0.06398088,0.06398088
1991-08-31,0.06398088,0.06398088,0.06398088,0.06398088,0.06398088
1991-09-30,0.06398088,0.06398088,0.06398088,0.06398088,0.06398088
1991-10-31,0.06398088,0.06398088,0.06398088,0.06398088,0.06398088
1991-11-30,0.06398088,0.06398088,0.06398088,0.06398088,0.06398088
1991-12-31,0.06398088,0.06398088,0.06398088,0.06398088,0.06398088
1992-01-31,0.05083765,0.05083765,0.05083765,0.05083765,0.05083765
1992-02-29,0.05083765,0.05083765,0.05083765,0.05083765,0.05083765
1992-03-31,0.05083765,0.05083765,0.05083765,0.05083765,0.05083765
1992-04-30,0.05083765,0.05083765,0.05083765,0.05083765,0.05083765
1992-05-31,0.05083765,0.05083765,0.05083765,0.05083765,0.05083765
1992-06-30,0.05083765,0.05083765,0.05083765,0.05083765,0.05083765
1992-07-31,0.05083765,0.05083765,0.05083765,0.05083765,0.05083765
1992-08-31,0.05083765,0.05083765,0.05083765,0.05083765,0.05083765
1992-09-30,0.05083765,0.05083765,0.05083765,0.05083765,0.05083765
1992-10-31,0.05083765,0.05083765,0.05083765,0.05083765,0.05083765
1992-11-30,0.05083765,0.05083765,0.05083765,0.05083765,0.05083765
1992-12-31,0.05083765,0.05083765,0.05083765,0.05083765,0.05083765
1993-01-31,0.06272885,0.06272885,0.06272885,0.06272885,0.06272885
1993-02-28,0.06272885,0.06272885,0.06272885,0.06272885,0.06272885
1993-03-31,0.06272885,0.06272885,0.06272885,0.06272885,0.06272885
1993-04-30,0.06272885,0.06272885,0.06272885,0.06272885,0.06272885
1993-05-31,0.06272885,0.06272885,0.06272885,0.06272885,0.06272885
1993-06-30,0.06272885,0.06272885,0.06272885,0.06272885,0.06272885
1993-07-31,0.06272885,0.06272885,0.06272885,0.06272885,0.06272885
1993-08-31,0.06272885,0.06272885,0.06272885,0.06272885,0.06272885
1993-09-30,0.06272885,0.06272885,0.06272885,0.06272885,0.06272885
1993-10-31,0.06272885,0.06272885,0.06272885,0.06272885,0.06272885
1993-11-30,0.06272885,0.06272885,0.06272885,0.06272885,0.06272885
1993-12-31,0.06272885,0.06272885,0.06272885,0.06272885,0.06272885
1994-01-31,0.057724267,0.057724267,0.057724267,0.057724267,0.057724267
1994-02-28,0.057724267,0.057724267,0.057724267,0.057724267,0.057724267
1994-03-31,0.057724267,0.057724267,0.057724267,0.057724267,0.057724267
1994-04-30,0.057724267,0.057724267,0.057724267,0.057724267,0.057724267
1994-05-31,0.057724267,0.057724267,0.057724267,0.057724267,0.057724267
1994-06-30,0.057724267,0.057724267,0.057724267,0.057724267,0.057724267
1994-07-31,0.057724267,0.057724267,0.057724267,0.057724267,0.057724267
1994-08-31,0.057724267,0.057724267,0.057724267,0.057724267,0.057724267
1994-09-30,0.057724267,0.057724267,0.057724267,0.057724267,0.057724267
1994-10-31,0.057724267,0.057724267,0.057724267,0.057724267,0.057724267
1994-11-30,0.057724267,0.057724267,0.057724267,0.057724267,0.057724267
1994-12-31,0.057724267,0.057724267,0.057724267,0.057724267,0.057724267
1995-01-31,0.08888753,0.08888753,0.08888753,0.08888753,0.08888753
1995-02-28,0.08888753,0.08888753,0.08888753,0.08888753,0.08888753
1995-03-31,0.08888753,0.08888753,0.08888753,0.08888753,0.08888753
1995-04-30,0.08888753,0.08888753,0.08888753,0.08888753,0.08888753
1995-05-31,0.08888753,0.08888753,0.08888753,0.08888753,0.08888753
1995-06-30,0.08888753,0.08888753,0.08888753,0.08888753,0.08888753
1995-07-31,0.08888753,0.08888753,0.08888753,0.08888753,0.08888753
1995-08-31,0.08888753,0.08888753,0.08888753,0.08888753,0.08888753
1995-09-30,0.08888753,0.08888753,0.08888753,0.08888753,0.08888753
1995-10-31,0.08888753,0.08888753,0.08888753,0.08888753,0.08888753
1995-11-30,0.08888753,0.08888753,0.08888753,0.08888753,0.08888753
1995-12-31,0.08888753,0.08888753,0.08888753,0.08888753,0.08888753
1996-01-31,0.076061815,0.076061815,0.076061815,0.076061815,0.076061815
1996-02-29,0.076061815,0.076061815,0.076061815,0.076061815,0.076061815
1996-03-31,0.076061815,0.076061815,0.076061815,0.076061815,0.076061815
1996-04-30,0.076061815,0.076061815,0.076061815,0.076061815,0.076061815
1996-05-31,0.076061815,0.076061815,0.076061815,0.076061815,0.076061815
1996-06-30,0.076061815,0.076061815,0.076061815,0.076061815,0.076061815
1996-07-31,0.076061815,0.076061815,0.076061815,0.076061815,0.076061815
1996-08-31,0.076061815,0.076061815,0.076061815,0.076061815,0.076061815
1996-09-30,0.076061815,0.076061815,0.076061815,0.076061815,0.076061815
1996-10-31,0.076061815,0.076061815,0.076061815,0.076061815,0.076061815
1996-11-30,0.076061815,0.076061815,0.076061815,0.076061815,0.076061815
1996-12-31,0.076061815,0.076061815,0.076061815,0.076061815,0.076061815
1997-01-31,0.07913743,0.07913743,0.07913743,0.07913743,0.07913743
1997-02-28,0.07913743,0.07913743,0.07913743,0.07913743,0.07913743
